experiment,variant,metric,value
core_adaptation,baseline,recall_mse,0.87953103
core_adaptation,alc,recall_mse,0.63067806
core_adaptation,baseline,recall_acc,0.01562500
core_adaptation,alc,recall_acc,0.14062500
stability,alc,nan_rate,0.00000000
stability,alc,slot_norm_init,0.00000000
stability,alc,slot_norm_final,0.63524634
stability,alc,slot_norm_max,0.78419435
persistence,alc,save_ok,1.00000000
persistence,alc,load_ok,1.00000000
persistence,alc,slot_max_abs_diff,0.00000000
persistence,alc,behavior_max_abs_diff,0.00000000
trainability,interface_trainable,loss_before,0.09416249
trainability,interface_trainable,loss_after,0.07553441
trainability,interface_frozen,loss_eval,0.09416249
ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.30150211
ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.35246399
ablation,S4_eta0.05_softmax_additive,recall_mse,0.33779502
ablation,S4_eta0.05_softmax_gated,recall_mse,0.31167755
ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.34972689
ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.39591900
ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.25245064
ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.29832134
ablation,S4_eta0.20_softmax_additive,recall_mse,0.29839650
ablation,S4_eta0.20_softmax_gated,recall_mse,0.30053008
ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.27932981
ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.30808252
ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.31831330
ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.25385711
ablation,S4_eta0.50_softmax_additive,recall_mse,0.35173315
ablation,S4_eta0.50_softmax_gated,recall_mse,0.32511207
ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.29551950
ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.32642978
ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.28844395
ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.32440045
ablation,S8_eta0.05_softmax_additive,recall_mse,0.34732357
ablation,S8_eta0.05_softmax_gated,recall_mse,0.37937865
ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.33401978
ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.33834690
ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.26738533
ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.28430507
ablation,S8_eta0.20_softmax_additive,recall_mse,0.30788499
ablation,S8_eta0.20_softmax_gated,recall_mse,0.30936271
ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.26244661
ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.32136008
ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.48322585
ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.26816532
ablation,S8_eta0.50_softmax_additive,recall_mse,0.30893791
ablation,S8_eta0.50_softmax_gated,recall_mse,0.33636945
ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.20621018
ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.26685476
ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.29891697
ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.30278513
ablation,S16_eta0.05_softmax_additive,recall_mse,0.33659193
ablation,S16_eta0.05_softmax_gated,recall_mse,0.35076067
ablation,S16_eta0.05_topk_softmax_additive,recall_mse,0.31825951
ablation,S16_eta0.05_topk_softmax_gated,recall_mse,0.33591062
ablation,S16_eta0.20_hard_top1_additive,recall_mse,0.27870479
ablation,S16_eta0.20_hard_top1_gated,recall_mse,0.32133004
ablation,S16_eta0.20_softmax_additive,recall_mse,0.30226448
ablation,S16_eta0.20_softmax_gated,recall_mse,0.27430058
ablation,S16_eta0.20_topk_softmax_additive,recall_mse,0.30620629
ablation,S16_eta0.20_topk_softmax_gated,recall_mse,0.29661962
ablation,S16_eta0.50_hard_top1_additive,recall_mse,0.41988209
ablation,S16_eta0.50_hard_top1_gated,recall_mse,0.26482627
ablation,S16_eta0.50_softmax_additive,recall_mse,0.31300819
ablation,S16_eta0.50_softmax_gated,recall_mse,0.35237083
ablation,S16_eta0.50_topk_softmax_additive,recall_mse,0.24604240
ablation,S16_eta0.50_topk_softmax_gated,recall_mse,0.25968185
efficiency,baseline,forward_ms,0.51085302
efficiency,alc,forward_ms,0.58024102
efficiency,alc,slowdown_ratio,1.13582772
efficiency,alc,extra_params,992.00000000
