experiment,variant,metric,value
core_adaptation,baseline,recall_mse,0.93519199
core_adaptation,alc,recall_mse,0.70697421
core_adaptation,alc_no_write,recall_mse,0.32587472
core_adaptation,baseline,recall_acc,0.04687500
core_adaptation,alc,recall_acc,0.07812500
core_adaptation,alc_no_write,recall_acc,0.07812500
stability,alc,nan_rate,0.00000000
stability,alc,slot_norm_init,0.00000000
stability,alc,slot_norm_final,0.46662971
stability,alc,slot_norm_max,0.75059229
persistence,alc,save_ok,1.00000000
persistence,alc,load_ok,1.00000000
persistence,alc,slot_max_abs_diff,0.00000000
persistence,alc,behavior_max_abs_diff,0.00000000
trainability,interface_trainable,loss_before,0.09316270
trainability,interface_trainable,loss_after,0.07537322
trainability,interface_frozen,loss_eval,0.09316270
language_benchmark,baseline,recall_mse,1.15248132
language_benchmark,alc,recall_mse,1.03020561
language_benchmark,alc_no_write,recall_mse,0.33394262
language_benchmark,baseline,recall_acc,0.01041667
language_benchmark,alc,recall_acc,0.01041667
language_benchmark,alc_no_write,recall_acc,0.03125000
ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.28620231
ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.34510398
ablation,S4_eta0.05_softmax_additive,recall_mse,0.30815172
ablation,S4_eta0.05_softmax_gated,recall_mse,0.28591499
ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.33411771
ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.35894471
ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.26266840
ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.31341964
ablation,S4_eta0.20_softmax_additive,recall_mse,0.32953697
ablation,S4_eta0.20_softmax_gated,recall_mse,0.39159667
ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.30926895
ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.31833044
ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.35340106
ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.24350452
ablation,S4_eta0.50_softmax_additive,recall_mse,0.29927519
ablation,S4_eta0.50_softmax_gated,recall_mse,0.33019352
ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.36020631
ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.24755670
ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.29386029
ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.31681845
ablation,S8_eta0.05_softmax_additive,recall_mse,0.37766290
ablation,S8_eta0.05_softmax_gated,recall_mse,0.31720811
ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.29153469
ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.31778306
ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.30418727
ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.31090891
ablation,S8_eta0.20_softmax_additive,recall_mse,0.33120593
ablation,S8_eta0.20_softmax_gated,recall_mse,0.29116538
ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.26691997
ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.33536002
ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.43226254
ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.26735359
ablation,S8_eta0.50_softmax_additive,recall_mse,0.33000240
ablation,S8_eta0.50_softmax_gated,recall_mse,0.28822482
ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.26069388
ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.26884893
ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.29704931
ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.32581535
ablation,S16_eta0.05_softmax_additive,recall_mse,0.35157818
ablation,S16_eta0.05_softmax_gated,recall_mse,0.34424150
ablation,S16_eta0.05_topk_softmax_additive,recall_mse,0.28908816
ablation,S16_eta0.05_topk_softmax_gated,recall_mse,0.33980852
ablation,S16_eta0.20_hard_top1_additive,recall_mse,0.27575836
ablation,S16_eta0.20_hard_top1_gated,recall_mse,0.28390747
ablation,S16_eta0.20_softmax_additive,recall_mse,0.34248784
ablation,S16_eta0.20_softmax_gated,recall_mse,0.35398608
ablation,S16_eta0.20_topk_softmax_additive,recall_mse,0.26698834
ablation,S16_eta0.20_topk_softmax_gated,recall_mse,0.31414896
ablation,S16_eta0.50_hard_top1_additive,recall_mse,0.35979918
ablation,S16_eta0.50_hard_top1_gated,recall_mse,0.25507504
ablation,S16_eta0.50_softmax_additive,recall_mse,0.29822025
ablation,S16_eta0.50_softmax_gated,recall_mse,0.31293279
ablation,S16_eta0.50_topk_softmax_additive,recall_mse,0.26187986
ablation,S16_eta0.50_topk_softmax_gated,recall_mse,0.27176988
efficiency,baseline,forward_ms,0.50145114
efficiency,alc,forward_ms,0.53910270
efficiency,alc,slowdown_ratio,1.07508520
efficiency,alc,extra_params,992.00000000
