seed,experiment,variant,metric,value
42,core_adaptation,baseline,recall_mse,0.87953103
42,core_adaptation,alc,recall_mse,0.63067806
42,core_adaptation,alc_no_write,recall_mse,0.32839790
42,core_adaptation,baseline,recall_acc,0.01562500
42,core_adaptation,alc,recall_acc,0.14062500
42,core_adaptation,alc_no_write,recall_acc,0.07812500
42,stability,alc,nan_rate,0.00000000
42,stability,alc,slot_norm_init,0.00000000
42,stability,alc,slot_norm_final,0.63524634
42,stability,alc,slot_norm_max,0.78419435
42,persistence,alc,save_ok,1.00000000
42,persistence,alc,load_ok,1.00000000
42,persistence,alc,slot_max_abs_diff,0.00000000
42,persistence,alc,behavior_max_abs_diff,0.00000000
42,trainability,interface_trainable,loss_before,0.09416249
42,trainability,interface_trainable,loss_after,0.07553441
42,trainability,interface_frozen,loss_eval,0.09416249
42,language_benchmark,baseline,recall_mse,0.85298365
42,language_benchmark,alc,recall_mse,0.73256755
42,language_benchmark,alc_no_write,recall_mse,0.35355517
42,language_benchmark,baseline,recall_acc,0.01041667
42,language_benchmark,alc,recall_acc,0.01041667
42,language_benchmark,alc_no_write,recall_acc,0.00000000
42,tinyqa,baseline,qa_acc_delay_0,0.03333334
42,tinyqa,alc,qa_acc_delay_0,0.03333334
42,tinyqa,alc_no_write,qa_acc_delay_0,0.03333334
42,tinyqa,baseline,qa_acc_delay_4,0.03333334
42,tinyqa,alc,qa_acc_delay_4,0.06666667
42,tinyqa,alc_no_write,qa_acc_delay_4,0.03333334
42,tinyqa,baseline,delayed_qa_acc,0.03333334
42,tinyqa,alc,delayed_qa_acc,0.06666667
42,tinyqa,alc_no_write,delayed_qa_acc,0.03333334
42,tinyqa,baseline,qa_acc_delay_8,0.03333334
42,tinyqa,alc,qa_acc_delay_8,0.05000000
42,tinyqa,alc_no_write,qa_acc_delay_8,0.03333334
42,tinyqa,baseline,delayed_qa_acc,0.03333334
42,tinyqa,alc,delayed_qa_acc,0.05000000
42,tinyqa,alc_no_write,delayed_qa_acc,0.03333334
42,tinyqa,baseline,qa_acc_mean,0.03333334
42,tinyqa,alc,qa_acc_mean,0.05000000
42,tinyqa,alc_no_write,qa_acc_mean,0.03333334
42,tinyqa,dataset,num_samples,60.00000000
42,ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.28635991
42,ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.30003178
42,ablation,S4_eta0.05_softmax_additive,recall_mse,0.33535638
42,ablation,S4_eta0.05_softmax_gated,recall_mse,0.31279784
42,ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.36081809
42,ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.34269607
42,ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.24795541
42,ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.30477789
42,ablation,S4_eta0.20_softmax_additive,recall_mse,0.33774039
42,ablation,S4_eta0.20_softmax_gated,recall_mse,0.30942792
42,ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.30943719
42,ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.28867856
42,ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.36982945
42,ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.27432054
42,ablation,S4_eta0.50_softmax_additive,recall_mse,0.29570028
42,ablation,S4_eta0.50_softmax_gated,recall_mse,0.30356535
42,ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.27920726
42,ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.25049490
42,ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.39647591
42,ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.32852188
42,ablation,S8_eta0.05_softmax_additive,recall_mse,0.30850491
42,ablation,S8_eta0.05_softmax_gated,recall_mse,0.30126658
42,ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.29470557
42,ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.30459258
42,ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.26305091
42,ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.26790345
42,ablation,S8_eta0.20_softmax_additive,recall_mse,0.30378824
42,ablation,S8_eta0.20_softmax_gated,recall_mse,0.32124111
42,ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.27361310
42,ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.34534630
42,ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.36391053
42,ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.24688028
42,ablation,S8_eta0.50_softmax_additive,recall_mse,0.34980023
42,ablation,S8_eta0.50_softmax_gated,recall_mse,0.30652699
42,ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.27002299
42,ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.28506508
42,ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.32004091
42,ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.32921425
42,ablation,S16_eta0.05_softmax_additive,recall_mse,0.37975705
42,ablation,S16_eta0.05_softmax_gated,recall_mse,0.29027566
42,ablation,S16_eta0.05_topk_softmax_additive,recall_mse,0.34053740
42,ablation,S16_eta0.05_topk_softmax_gated,recall_mse,0.34114462
42,ablation,S16_eta0.20_hard_top1_additive,recall_mse,0.26029471
42,ablation,S16_eta0.20_hard_top1_gated,recall_mse,0.31165665
42,ablation,S16_eta0.20_softmax_additive,recall_mse,0.33459565
42,ablation,S16_eta0.20_softmax_gated,recall_mse,0.28693876
42,ablation,S16_eta0.20_topk_softmax_additive,recall_mse,0.27923930
42,ablation,S16_eta0.20_topk_softmax_gated,recall_mse,0.33315480
42,ablation,S16_eta0.50_hard_top1_additive,recall_mse,0.30580547
42,ablation,S16_eta0.50_hard_top1_gated,recall_mse,0.28257802
42,ablation,S16_eta0.50_softmax_additive,recall_mse,0.32895079
42,ablation,S16_eta0.50_softmax_gated,recall_mse,0.30397192
42,ablation,S16_eta0.50_topk_softmax_additive,recall_mse,0.29698658
42,ablation,S16_eta0.50_topk_softmax_gated,recall_mse,0.31622142
42,efficiency,baseline,forward_ms,0.55403812
42,efficiency,alc,forward_ms,0.88336432
42,efficiency,alc,slowdown_ratio,1.59441072
42,efficiency,alc,extra_params,992.00000000
1337,core_adaptation,baseline,recall_mse,0.97930652
1337,core_adaptation,alc,recall_mse,0.72933215
1337,core_adaptation,alc_no_write,recall_mse,0.34502912
1337,core_adaptation,baseline,recall_acc,0.03125000
1337,core_adaptation,alc,recall_acc,0.14062500
1337,core_adaptation,alc_no_write,recall_acc,0.00000000
1337,stability,alc,nan_rate,0.00000000
1337,stability,alc,slot_norm_init,0.00000000
1337,stability,alc,slot_norm_final,0.48582104
1337,stability,alc,slot_norm_max,0.71180701
1337,persistence,alc,save_ok,1.00000000
1337,persistence,alc,load_ok,1.00000000
1337,persistence,alc,slot_max_abs_diff,0.00000000
1337,persistence,alc,behavior_max_abs_diff,0.00000000
1337,trainability,interface_trainable,loss_before,0.09244064
1337,trainability,interface_trainable,loss_after,0.07549241
1337,trainability,interface_frozen,loss_eval,0.09244064
1337,language_benchmark,baseline,recall_mse,1.15294480
1337,language_benchmark,alc,recall_mse,1.06147492
1337,language_benchmark,alc_no_write,recall_mse,0.31998730
1337,language_benchmark,baseline,recall_acc,0.00000000
1337,language_benchmark,alc,recall_acc,0.02083333
1337,language_benchmark,alc_no_write,recall_acc,0.02083333
1337,tinyqa,baseline,qa_acc_delay_0,0.03333334
1337,tinyqa,alc,qa_acc_delay_0,0.03333334
1337,tinyqa,alc_no_write,qa_acc_delay_0,0.03333334
1337,tinyqa,baseline,qa_acc_delay_4,0.03333334
1337,tinyqa,alc,qa_acc_delay_4,0.06666667
1337,tinyqa,alc_no_write,qa_acc_delay_4,0.03333334
1337,tinyqa,baseline,delayed_qa_acc,0.03333334
1337,tinyqa,alc,delayed_qa_acc,0.06666667
1337,tinyqa,alc_no_write,delayed_qa_acc,0.03333334
1337,tinyqa,baseline,qa_acc_delay_8,0.03333334
1337,tinyqa,alc,qa_acc_delay_8,0.05000000
1337,tinyqa,alc_no_write,qa_acc_delay_8,0.03333334
1337,tinyqa,baseline,delayed_qa_acc,0.03333334
1337,tinyqa,alc,delayed_qa_acc,0.05000000
